Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
01-APR-2026,22899,22941.3,22618.6,22679.4,517954448,41192.2
30-MAR-2026,22549.65,22714.1,22283.85,22331.4,698599891,53093.7
27-MAR-2026,23173.55,23186.1,22804.55,22819.6,612556883,47239.2
25-MAR-2026,23064.4,23465.35,23063.2,23306.45,505418973,40733.98
24-MAR-2026,22878.45,23057.3,22624.2,22912.4,538098322,43385.04
23-MAR-2026,22824.35,22851.7,22471.25,22512.65,550275334,41002.59
20-MAR-2026,23110.15,23345.15,23067.6,23114.5,663289390,50308.33
19-MAR-2026,23197.75,23378.7,22930.35,23002.15,550147401,42000.27
18-MAR-2026,23632.9,23862.25,23618.45,23777.8,382876401,28805.6
17-MAR-2026,23493.2,23656.8,23346.6,23581.15,458788167,34495.73
16-MAR-2026,23116.1,23502,22955.25,23408.8,540293230,44710.21
13-MAR-2026,23462.5,23492.4,23112,23151.1,519776752,40786.7
12-MAR-2026,23674.85,23833.15,23556.3,23639.15,501004098,40147.62
11-MAR-2026,24231.85,24299,23834.3,23866.85,407400643,32549.4
10-MAR-2026,24280.8,24303.8,24079.95,24261.6,444283436,36657.53
09-MAR-2026,23868.05,24078.15,23697.8,24028.05,526901605,40569.31
06-MAR-2026,24656.4,24700.8,24415.75,24450.45,433408256,35453.32
05-MAR-2026,24615.95,24854.2,24529.4,24765.9,504339053,40011.88
04-MAR-2026,24388.8,24602.45,24305.4,24480.5,598993881,47700.19
02-MAR-2026,24659.25,24989.35,24603.5,24865.7,519228821,41306.37
27-FEB-2026,25459.85,25476.4,25141.3,25178.65,438924282,38634.68
26-FEB-2026,25556.3,25572.95,25400.95,25496.55,405219244,33155.5
25-FEB-2026,25512.6,25652.6,25428.2,25482.5,414215742,31084.17
24-FEB-2026,25641.8,25641.8,25327.6,25424.65,439068188,36735.38
23-FEB-2026,25678.4,25771.45,25609.35,25713,399135843,25494.64
20-FEB-2026,25406.55,25663.55,25379.75,25571.25,309373691,24024.7
19-FEB-2026,25873.35,25885.3,25388.75,25454.35,333658812,24756.87
18-FEB-2026,25752.65,25828.05,25645.15,25819.35,400807585,22228.22
17-FEB-2026,25637.95,25764.4,25570.3,25725.4,378436265,27818.81
16-FEB-2026,25423.6,25697,25372.7,25682.75,325487729,22205.92
13-FEB-2026,25571.15,25630.35,25444.3,25471.1,453523192,40137.15
12-FEB-2026,25906.7,25906.7,25752.4,25807.2,419388014,38977.68
11-FEB-2026,25997.45,26009.4,25899.8,25953.85,331389240,31456.05
10-FEB-2026,25922.65,25989.45,25870.45,25935.15,460878237,32795.1
09-FEB-2026,25888.7,25922.25,25780.9,25867.3,359386006,28449.55
06-FEB-2026,25605.8,25703.95,25491.9,25693.7,375476124,29777.45
05-FEB-2026,25755.9,25757.65,25579.5,25642.8,343812628,28582.32
04-FEB-2026,25675.05,25818.55,25563.95,25776,429788986,36899.12
03-FEB-2026,26308.05,26341.2,25641.3,25727.55,637263148,52338.39
02-FEB-2026,24796.5,25108.1,24679.4,25088.4,449215604,34038.26
01-FEB-2026,25333.75,25440.9,24571.75,24825.45,379370206,25572.6
30-JAN-2026,25247.55,25370.7,25213.65,25320.65,508388604,40772.08
29-JAN-2026,25345,25458.15,25159.8,25418.9,582389331,44306.95
28-JAN-2026,25258.85,25372.1,25187.65,25342.75,574903942,42364.52
27-JAN-2026,25063.35,25246.65,24932.55,25175.4,618696080,50989.25
23-JAN-2026,25344.6,25347.95,25025.3,25048.65,393944908,31844.65
22-JAN-2026,25344.15,25435.75,25168.5,25289.9,486395433,34583.24
21-JAN-2026,25141,25300.95,24919.8,25157.5,395624981,30984.61
20-JAN-2026,25580.3,25585,25171.35,25232.5,409772324,31020.36
19-JAN-2026,25653.1,25653.3,25494.35,25585.5,443087953,33632.38
16-JAN-2026,25696.05,25873.5,25662.4,25694.35,434041776,37156.05
14-JAN-2026,25648.55,25791.75,25603.95,25665.6,393126596,28944.88
13-JAN-2026,25897.35,25899.8,25603.3,25732.3,339536336,31434.03
12-JAN-2026,25669.05,25813.15,25473.4,25790.25,275757268,23874.45
09-JAN-2026,25840.4,25940.6,25623,25683.3,348757262,27486.64
08-JAN-2026,26106.5,26133.2,25858.45,25876.85,328520950,27556.32
07-JAN-2026,26143.1,26187.15,26067.9,26140.75,338216740,30232.63
06-JAN-2026,26189.7,26273.95,26124.75,26178.7,383040203,34567.52
05-JAN-2026,26333.7,26373.2,26210.05,26250.3,338777649,25742.83
02-JAN-2026,26155.1,26340,26118.4,26328.55,357547806,23770.13
01-JAN-2026,26173.3,26197.55,26113.4,26146.55,425631910,23454.66
31-DEC-2025,25971.05,26187.95,25969,26129.6,246314941,20703.99
30-DEC-2025,25940.9,25976.75,25878,25938.85,396893959,39492.31
29-DEC-2025,26063.35,26106.8,25920.3,25942.1,234312888,18184.45
26-DEC-2025,26121.25,26144.2,26008.6,26042.3,142243763,12263.06
24-DEC-2025,26170.65,26236.4,26123,26142.1,188846828,17474.44
23-DEC-2025,26205.2,26233.55,26119.05,26177.15,216553840,19670.5
22-DEC-2025,26055.85,26180.7,26047.8,26172.4,252990050,25333.26
19-DEC-2025,25911.5,25993.35,25880.45,25966.4,382927284,36600.58
18-DEC-2025,25764.7,25902.35,25726.3,25815.55,197553755,20046.07
17-DEC-2025,25902.4,25929.15,25770.35,25818.55,206521258,19787.57
16-DEC-2025,25951.5,25980.75,25834.35,25860.1,264351195,23554.69
15-DEC-2025,25930.05,26047.15,25904.75,26027.3,181557703,17444.03
12-DEC-2025,25971.2,26057.6,25938.45,26046.95,216344338,19484.07
11-DEC-2025,25771.4,25922.8,25693.25,25898.55,206099631,20145.19
10-DEC-2025,25864.05,25947.65,25734.55,25758,207944446,21975.7
09-DEC-2025,25867.1,25923.65,25728,25839.65,275978160,29894.41
08-DEC-2025,26159.8,26178.7,25892.25,25960.55,320729920,31677.57
05-DEC-2025,25999.8,26202.6,25985.35,26186.45,249254405,27491.07
04-DEC-2025,25981.85,26098.25,25938.95,26033.75,248099545,26377.76
03-DEC-2025,26004.9,26066.45,25891,25986,265660108,25320.85
